Epoch,Text_id_setup_0502,Text_id_setup_0503,Text_id_setup_0505
1616770637,29.025,64.99,100570
1616770667,29.02,65.02,100569
1616770697,29.02,65.02,100569
1616770727,29.02,65.02,100569
1616770757,29.02,65.02,100569
1616770787,29.02,65.02,100569
1616770817,29.02,65.02,100569
1616770847,29.02,65.02,100569
1616770877,29.02,65.02,100569
1616770907,29.02,65.02,100569
1616770937,29.02,65.02,100569
1616770967,29.02,65.02,100569
1616770997,29.02,65.02,100569
1616771027,29.02,65.02,100569
1616771057,29.02,65.02,100569
1616771087,29.01,64.77,100562
1616771117,29.02,64.77,100565
1616771147,29.02,64.77,100565
1616771177,29.02,64.77,100565
1616771207,29.02,64.77,100565
1616771237,29.02,64.77,100565
1616771267,29.02,64.77,100565
1616771297,29.02,64.77,100565
1616771327,29.02,64.77,100565
1616771357,29.02,64.77,100565
1616771387,29.02,64.77,100565
1616771417,29.02,64.77,100565
1616771447,29.02,64.77,100565
1616771477,29.02,64.77,100565
1616771507,29.02,64.77,100565
1616771537,29.02,64.77,100565
1616771567,29.02,64.77,100565
1616771597,29.02,64.77,100565
1616771627,29.02,64.77,100565
1616771657,29.02,64.77,100565
1616771687,29.02,64.77,100565
1616771717,29.02,64.77,100565
1616771747,29.02,64.77,100565
1616771777,29.02,64.77,100565
1616771807,29.02,64.77,100565
1616771837,29.02,64.77,100565
1616771867,29.02,64.77,100565
1616771897,29.02,64.77,100565
1616771927,29.02,64.77,100565
1616771957,29.02,64.77,100565
1616771987,29.02,64.77,100565
1616772017,29.02,64.77,100565
1616772047,29.02,64.77,100565
1616772077,29.02,64.77,100565
1616772107,29.02,64.77,100565
1616772137,29.02,64.77,100565
1616772167,29.02,64.77,100565
1616772197,29.02,64.77,100565
1616772227,29.02,64.77,100565
1616772257,29.02,64.77,100565
1616772287,29.02,64.77,100565
1616772317,29.02,64.77,100565
1616772347,29.02,64.77,100565
1616772377,29.02,64.77,100565
1616772407,29.08,63.97,100572
1616772437,29.07,64.09,100571
1616772467,29.07,64.09,100571
1616772497,29.07,64.09,100571
1616772527,29.07,64.09,100571
1616772557,29.07,64.09,100571
1616772587,29.07,64.09,100571
1616772617,29.07,64.09,100571
1616772647,29.07,64.09,100571
1616772677,29.07,64.09,100571
1616772707,29.07,64.09,100571
1616772737,29.07,64.09,100571
1616772767,29.07,64.09,100561
1616772797,29.07,64.09,100561
1616772827,29.07,64.09,100561
1616772857,29.07,64.09,100561
1616772887,29.07,64.09,100561
1616772917,29.07,64.09,100561
1616772947,29.07,64.09,100561
1616772977,29.07,64.09,100561
1616773007,29.07,64.09,100561
1616773037,29.07,64.09,100561
1616773067,29.07,64.09,100561
1616773097,29.07,64.09,100561
1616773127,29.07,64.09,100561
1616773157,29.11,64.58,100554
1616773187,29.11,64.58,100554
1616773217,29.11,64.58,100554
1616773247,29.11,64.58,100554
1616773277,29.11,64.58,100554
1616773307,29.11,64.58,100554
1616773337,29.11,64.58,100554
1616773367,29.11,64.58,100554
1616773397,29.11,64.58,100554
1616773427,29.11,64.58,100554
1616773457,29.11,64.58,100554
1616773487,29.11,64.58,100554
1616773517,29.11,64.58,100554
1616773547,29.12,64.56,100550
1616773577,29.1,64.55,100543
1616773607,29.1,64.55,100543
1616773637,29.1,64.55,100543
1616773667,29.1,64.55,100543
1616773697,29.1,64.55,100543
1616773727,29.1,64.55,100543
1616773757,29.1,64.55,100543
1616773787,29.1,64.55,100543
1616773817,29.1,64.55,100543
1616773847,29.1,64.55,100543
1616773877,29.1,64.55,100543
1616773907,29.1,64.55,100543
1616773937,29.1,64.55,100543
1616773967,29.1,64.55,100543
1616773997,29.1,64.55,100543
1616774027,29.1,64.55,100553
1616774057,29.1,64.55,100553
1616774087,29.1,64.55,100553
1616774117,29.1,64.55,100553
1616774147,29.1,64.55,100553
1616774177,29.095,64.355,100558
1616774207,29.08,64.17,100564
1616774237,29.08,64.17,100564
1616774267,29.08,64.17,100564
1616774297,29.08,64.17,100564
1616774327,29.075,64.285,100563
1616774357,29.07,64.46,100561
1616774387,29.07,64.46,100561
1616774417,29.07,64.46,100561
1616774447,29.07,64.46,100561
1616774477,29.07,64.46,100561
1616774507,29.07,64.46,100561
1616774537,29.07,64.46,100561
1616774567,29.07,64.46,100561
1616774597,29.07,64.46,100561
1616774627,29.07,64.46,100561
1616774657,29.07,64.46,100561
1616774687,29.07,64.46,100561
1616774717,29.07,64.46,100561
1616774747,29.07,64.46,100561
1616774777,29.07,64.46,100561
1616774807,29.07,64.46,100550
1616774837,29.07,64.46,100550
1616774867,29.07,64.46,100550
1616774897,29.07,64.46,100550
1616774927,29.07,64.46,100550
1616774957,29.07,64.46,100550
1616774987,29.07,64.46,100550
1616775017,29.07,64.46,100550
1616775047,29.07,64.46,100550
1616775077,29.07,64.46,100550
